Organism.Name	Strain	species	genus	family	order	class	phylum	superkingdom
Francisella cf. novicida 3523	3523	Francisella tularensis	Francisella	Francisellaceae	Thiotrichales	Gammaproteobacteria	Proteobacteria	Bacteria
Francisella cf. novicida Fx1	Fx1	Francisella tularensis	Francisella	Francisellaceae	Thiotrichales	Gammaproteobacteria	Proteobacteria	Bacteria
Francisella noatunensis subsp. orientalis LADL--07-285A	LADL--07-285A	Francisella noatunensis	Francisella	Francisellaceae	Thiotrichales	Gammaproteobacteria	Proteobacteria	Bacteria
Francisella noatunensis subsp. orientalis str. Toba 04	Toba 04	Francisella noatunensis	Francisella	Francisellaceae	Thiotrichales	Gammaproteobacteria	Proteobacteria	Bacteria
Francisella novicida FTE	FTE	Francisella tularensis	Francisella	Francisellaceae	Thiotrichales	Gammaproteobacteria	Proteobacteria	Bacteria
Francisella novicida FTG	FTG	Francisella tularensis	Francisella	Francisellaceae	Thiotrichales	Gammaproteobacteria	Proteobacteria	Bacteria
Francisella novicida GA99-3548	GA99-3548	Francisella tularensis	Francisella	Francisellaceae	Thiotrichales	Gammaproteobacteria	Proteobacteria	Bacteria
Francisella novicida GA99-3549	GA99-3549	Francisella tularensis	Francisella	Francisellaceae	Thiotrichales	Gammaproteobacteria	Proteobacteria	Bacteria
Francisella novicida U112	U112	Francisella tularensis	Francisella	Francisellaceae	Thiotrichales	Gammaproteobacteria	Proteobacteria	Bacteria
Francisella philomiragia subsp. philomiragia ATCC 25015	ATCC 25015	Francisella philomiragia	Francisella	Francisellaceae	Thiotrichales	Gammaproteobacteria	Proteobacteria	Bacteria
Francisella philomiragia subsp. philomiragia ATCC 25017	ATCC 25017	Francisella philomiragia	Francisella	Francisellaceae	Thiotrichales	Gammaproteobacteria	Proteobacteria	Bacteria
Francisella sp. TX077308	TX07-7308	Francisella sp. TX077308	Francisella	Francisellaceae	Thiotrichales	Gammaproteobacteria	Proteobacteria	Bacteria
Francisella tularensis 99A-2628	99A-2628	Francisella tularensis	Francisella	Francisellaceae	Thiotrichales	Gammaproteobacteria	Proteobacteria	Bacteria
Francisella tularensis subsp. holarctica LVS	LVS	Francisella tularensis	Francisella	Francisellaceae	Thiotrichales	Gammaproteobacteria	Proteobacteria	Bacteria
Francisella tularensis subsp. holarctica 257	Strain 257	Francisella tularensis	Francisella	Francisellaceae	Thiotrichales	Gammaproteobacteria	Proteobacteria	Bacteria
Francisella tularensis subsp. holarctica F92	F92	Francisella tularensis	Francisella	Francisellaceae	Thiotrichales	Gammaproteobacteria	Proteobacteria	Bacteria
Francisella tularensis subsp. holarctica FSC022	FSC022	Francisella tularensis	Francisella	Francisellaceae	Thiotrichales	Gammaproteobacteria	Proteobacteria	Bacteria
Francisella tularensis subsp. holarctica FSC200	FSC 200	Francisella tularensis	Francisella	Francisellaceae	Thiotrichales	Gammaproteobacteria	Proteobacteria	Bacteria
Francisella tularensis subsp. holarctica FTNF002-00	FTA	Francisella tularensis	Francisella	Francisellaceae	Thiotrichales	Gammaproteobacteria	Proteobacteria	Bacteria
Francisella tularensis subsp. holarctica OSU18	OSU18	Francisella tularensis	Francisella	Francisellaceae	Thiotrichales	Gammaproteobacteria	Proteobacteria	Bacteria
Francisella tularensis subsp. holarctica OSU18 		Francisella tularensis	Francisella	Francisellaceae	Thiotrichales	Gammaproteobacteria	Proteobacteria	Bacteria
Francisella tularensis subsp. holarctica URFT1	URFT1	Francisella tularensis	Francisella	Francisellaceae	Thiotrichales	Gammaproteobacteria	Proteobacteria	Bacteria
Francisella tularensis subsp. mediasiatica FSC147	FSC147	Francisella tularensis	Francisella	Francisellaceae	Thiotrichales	Gammaproteobacteria	Proteobacteria	Bacteria
Francisella tularensis subsp. tularensis 1378	1378	Francisella tularensis	Francisella	Francisellaceae	Thiotrichales	Gammaproteobacteria	Proteobacteria	Bacteria
Francisella tularensis subsp. tularensis 3571	3571	Francisella tularensis	Francisella	Francisellaceae	Thiotrichales	Gammaproteobacteria	Proteobacteria	Bacteria
Francisella tularensis subsp. tularensis 70001275	70001275	Francisella tularensis	Francisella	Francisellaceae	Thiotrichales	Gammaproteobacteria	Proteobacteria	Bacteria
Francisella tularensis subsp. tularensis 70102010		Francisella tularensis	Francisella	Francisellaceae	Thiotrichales	Gammaproteobacteria	Proteobacteria	Bacteria
Francisella tularensis subsp. tularensis 79201237	79201237	Francisella tularensis	Francisella	Francisellaceae	Thiotrichales	Gammaproteobacteria	Proteobacteria	Bacteria
Francisella tularensis subsp. tularensis 80700069	80700069	Francisella tularensis	Francisella	Francisellaceae	Thiotrichales	Gammaproteobacteria	Proteobacteria	Bacteria
Francisella tularensis subsp. tularensis 80700075		Francisella tularensis	Francisella	Francisellaceae	Thiotrichales	Gammaproteobacteria	Proteobacteria	Bacteria
Francisella tularensis subsp. tularensis 80700103		Francisella tularensis	Francisella	Francisellaceae	Thiotrichales	Gammaproteobacteria	Proteobacteria	Bacteria
Francisella tularensis subsp. tularensis 831		Francisella tularensis	Francisella	Francisellaceae	Thiotrichales	Gammaproteobacteria	Proteobacteria	Bacteria
Francisella tularensis subsp. tularensis AS_713		Francisella tularensis	Francisella	Francisellaceae	Thiotrichales	Gammaproteobacteria	Proteobacteria	Bacteria
Francisella tularensis subsp. tularensis FSC033	FSC033	Francisella tularensis	Francisella	Francisellaceae	Thiotrichales	Gammaproteobacteria	Proteobacteria	Bacteria
Francisella tularensis subsp. tularensis FSC198		Francisella tularensis	Francisella	Francisellaceae	Thiotrichales	Gammaproteobacteria	Proteobacteria	Bacteria
Francisella tularensis subsp. tularensis MA00-2987	MA00-2987	Francisella tularensis	Francisella	Francisellaceae	Thiotrichales	Gammaproteobacteria	Proteobacteria	Bacteria
